claim_id,claim_text,n_evidence_rows,n_supported,n_partially_supported,n_contradicted,n_not_tested,n_invalidated_geometry,n_invalidated_energetics,n_needs_experimental,final_status,key_data_points,scope_limitations,recommended_validation
1,CuI–guaiacol phenolic-O has special advantage over methanol O.,3,0,0,3,0,0,0,0,CONTRADICTED,BE_gas(cui_guaiacol_ph) = −25.30 vs BE_gas(cui_methanol_O) = −25.76; ΔBE = +0.46 kcal/mol (within thermal/basis noise). TZVPP confirms (+0.51 kcal/mol).,"BE_smd not computed for either CuI–guaiacol-phO or CuI–methanol-O; selectivity in solution remains untested (selectivity could shift in implicit water, but unlikely to flip the rank given the magnitude).",If solvation effect needs testing: run SP+SMD(water) on both geometries to confirm rank in implicit water.
2,Guaiacol bidentate survives iodide coordination.,4,1,1,0,0,1,1,0,PARTIALLY_SUPPORTED,"Bidentate SURVIVES only at Cu2I2 (BE_gas = −17.86, n_imag=0, intact cluster). At CuI it COLLAPSES to methoxy-O monodentate after 57 cycles (phenolic-O drifts to 3.04 Å). At [CuI2]− it gives non-physical BE = +167 (FAILED_SCF_STATE).","Cu2I2 phenolic-O start gives bidentate but FRAGMENTS the Cu2I2 cluster (one Cu separates) — bidentate at Cu2I2 only when launched explicitly bidentate, not as a relaxation product from a phenolic-O start.","Larger CuI cluster (e.g. Cu4I4 cubane) opt+freq with guaiacol bidentate start, to test whether bidentate survives without cluster fragmentation at a more realistic cluster size."
3,Methoxy-O is a productive anchoring path.,8,2,4,0,0,0,2,0,"PARTIALLY_SUPPORTED (state-dependent: productive on neutral Cu2I2 in bidentate kappa^2-O,O geometry; nonproductive on iodide-saturated [CuI2]-)","Productive at naked-Cu+ (cu_anisole_methoxyO BE_gas -48.78, BE_smd -20.54, TRUE_MIN). Weak but real at CuI (cui_guaiacol_methoxyO -14.23, TRUE_MIN; weakest O-donor). Non-physical at Cu2I2 and [CuI2]- in original Set D (BE +172.67 / +173.15; FAILED_SCF_STATE / SCF artifact). TASK #29 V2 RESULT: cu2i2_veratrole_methoxyO_startA reveals a TRUE bidentate kappa^2-O,O methoxy chelate at BE_gas -26.82, BE_smd -26.24 kcal/mol (both Cu-O = 2.203 A, n_imag=0). This is more binding than the veratrole eta^n-arene pi-mode on Cu2I2 (E4.3, BE_smd -23.11). [CuI2]- alternate starts (E3.7, E3.8) remain endothermic (+48 to +55 kcal/mol), confirming the iodide-saturated anion rejects methoxy-O regardless of starting orientation.","Methoxy-O productivity is STATE-DEPENDENT: TRUE on neutral Cu2I2 when geometry permits adjacent O,O chelation; FALSE on the iodide-saturated [CuI2]- regardless of seed. Single mono-OMe contacts on Cu2I2 (E3.6) remain metastable. Bidentate basin around startA needs rotamer/perturbation scan to confirm it is the global minimum; one Phase-2 high-grid single-point on startA is recommended to rule out a DefGrid3 artifact (deferred at 2026-04-30T~10:00Z; pending follow-up #3).",Already done: 4 alternate-start opt+freq + 4 SMD-SP at B3LYP-D3BJ/def2-TZVP DefGrid3 (Task #29 V2). Recommended: (a) 3-4 rotamer/perturbation opt+freq seeds around the cu2i2 bidentate-OMe basin; (b) one Grid5/FinalGrid6 single-point on cu2i2_veratrole_methoxyO_startA to confirm the -26 kcal/mol BE survives a tighter grid.
4,Etherified guaiacyl/veratrole binds via π to neutral Cu2I2.,3,1,0,2,0,0,0,0,"PARTIALLY_SUPPORTED (substrate-dependent; veratrole binds via pi, guaiacol/phenol detach)","cu2i2_guaiacol_pi: COLLAPSED_TO_DETACHED, BE_gas = -15.53, Cu-O >= 3.75 A. cu2i2_phenol_pi: COLLAPSED_TO_DETACHED, BE_gas = -16.73, Cu-O 4.76 A. cu2i2_veratrole_pi: TRUE MINIMUM (E4.3), BE_gas = -22.98, BE_smd = -23.11; the two methoxy substituents stabilise the eta^n-arene mode where guaiacol/phenol cannot. TASK #29 V2 ALSO reveals a SECOND productive channel on the SAME complex: a bidentate kappa^2-O,O methoxy chelate at BE_smd = -26.24 (E3.5; logged under claim 3 but mechanistically dual-mode with the pi channel). Veratrole/etherified guaiacyl on neutral Cu2I2 therefore supports DUAL-MODE anchoring: pi (-23.1) and bidentate O,O (-26.2).","Substrate scope is small: pi-mode tested only for guaiacol, phenol, and veratrole. Free-phenolic substrates (guaiacol, phenol) do not retain pi contact; etherified veratrole does. No other etherified or beta-O-4 fragments tested. Manuscript wording must say 'etherified guaiacyl-like motifs (veratrole proxy) bind via pi on neutral Cu2I2', not 'all aromatic substrates bind via pi on Cu2I2'.",Already done: cu2i2_veratrole_pi opt+freq + SMD-SP and the V2 alternate-start audit (Task #29). Recommended: re-extract cu2i2_veratrole_pi geometry locally on rbqua6cf61ki73 to remove the BELEGEN row-15 'geometry not re-verified' caveat (follow-up #2).
5,[CuI2]− is an iodide-saturated reset / straight limit.,6,6,0,0,0,0,0,0,SUPPORTED,"All 6 chemically-valid [CuI2]− adducts (h2o, methanol, phenol-O, phenol-π, guaiacol-phO, guaiacol-π) optimize to a near-linear I-Cu-I geometry (171–179°) with the ligand DETACHED (Cu-O ≥3.21 Å). BE_gas range: −2.92 to −11.56 kcal/mol — all weak. SMD only computed for h2o (−4.21).","Two methoxy/bidentate cases on [CuI2]− gave non-physical BEs (+167, +173) and FAILED_SCF_STATE; they are excluded as SCF artifacts rather than geometry evidence.",(none required for this claim — 6/6 productive cases all support it)
6,Cu2I2 provides a productive neutral CuI cluster model.,3,3,0,0,0,0,0,0,SUPPORTED,"Rhombic Cu2I2 is a TRUE_MIN (n_imag=0), 35.5 kcal/mol more stable than the linear isomer (n_imag=2 SADDLE), with a dimerization BE of −51.90 kcal/mol vs 2×CuI. Productive ligand binding observed for h2o (−19.50 gas / −16.68 SMD), methanol (−18.66), and guaiacol-bidentate (−17.86) — all with intact cluster and n_imag=0.","Productive binding is currently demonstrated only for small donors (h2o, methanol) and one chelate (bidentate guaiacol); other modes either collapse (π) or give non-physical SCF (methoxy-O). The 'productive cluster model' claim therefore applies to a restricted set of modes.",Additional Cu2I2 + ligand opt+freq with at least one anionic donor (e.g. phenolate) and one nitrogen donor would broaden the productivity claim.
7,Water/methanol exchange changes binding order.,3,3,0,0,0,0,0,0,SUPPORTED,"ΔE_vs_h2o on Cu2I2: guaiacol-bidentate +1.63, phenol-O +3.02, guaiacol-π +3.96 (water always wins or near-ties). Cross-cluster rank reversal: phenol drops from rank 1 (on [CuI2]−) to rank 4 (on Cu2I2); guaiacol jumps from rank 4 to rank 1 (forming bidentate at Cu2I2).",Almost all exchange ΔEs are gas-phase only; SMD-based exchange energies not computed. Implicit-water solvation could amplify or compress the differences and is the natural next step for a 'binding-order in water' claim.,"Run SMD(water) SP for the seven Cu2I2 + ligand and seven [CuI2]− + ligand geometries, then recompute ΔE_vs_h2o under SMD. Compare gas vs SMD rank reversal."
8,Oxide-aging / redox regeneration remains only a hypothesis.,1,0,0,0,0,0,0,1,NEEDS_EXPERIMENTAL_VALIDATION,"No DFT computation in this campaign addresses Cu2O / Cu(OH)2 / CuO surface adsorption (Level 6, declared OUT_OF_SCOPE in V9_CASE_DECISION.md §4 and OXIDE_AGING_REGIME_NOTE.md). Six reviewer-supplied references are catalogued but not verified by compute.","Periodic-DFT slab work (PBE+D3, GGA-corrected oxides) and aged-surface sampling are not part of the v9 audit. The claim is, by construction, a hypothesis that the present DFT campaign cannot prove or disprove.",Experimental: XPS Cu 2p / Cu LMM Auger to fingerprint Cu(0/I/II) speciation across the wash protocol; XANES + EXAFS at the Cu K-edge for first-shell coordination changes (per OXIDE_AGING_REGIME_NOTE.md §3). Computational follow-up: periodic-DFT slab adsorption study (separate project).
9,Anion-π iodide retention on native lignin is unsupported.,3,3,0,0,0,0,0,0,SUPPORTED,[CuI2]− + (phenol-π / guaiacol-π / phenol-O) all collapse to detached 2-coordinate I-Cu-I with BE_gas −2.92 to −11.56 kcal/mol. No I…aromatic-plane retention seen in any geometry; closest Cu-O = 3.21 Å (phenolic-O start) and Cu-centroid distances are all ≥3.4 Å.,Sample is small (3 phenolic substrates); no veratrole or guaiacol-on-lignin-fragment case directly addresses 'native lignin' — but the trend across simple aromatic phenols is uniformly against retention.,Optional: add guaiacol-veratrole (β-O-4 model fragment) with [CuI2]− to extend the substrate diversity. Not strictly required given the consistency of existing data.
10,Mode-selective CuI anchoring is the best supported thesis.,4,1,3,0,0,0,0,0,PARTIALLY_SUPPORTED,"v9.1 cui_guaiacol_pi BE = −29.04 (TRUE_MIN, n_imag=0) places guaiacol-π between methanol-O (−25.76) and phenol-π (−56.69). At naked-Cu+, mode discrimination 33.7 kcal/mol; at CuI shrinks to 3.74 kcal/mol; at Cu2I2 surviving-mode BE spread ~4 kcal/mol; at [CuI2]− all modes collapse to detached. Mode-selectivity is cluster-state-dependent.","'Best supported thesis' is comparative — competing theses (cluster-mediated π collapse, water displacement, iodide-saturation reset) are all supported by independent claims (4/5/7). Claim 10 is best read as 'mode-selectivity at the CuI level only', not across cluster states.",Sharpen the manuscript wording: scope claim 10 to 'mode-selective CuI anchoring at the CuI monomer level (where π preference of 3.74-31.4 kcal/mol survives)'; concede that mode-selectivity weakens monotonically as iodide ligation increases.
