mechanism_id,mechanism_name,primary_claim_ids,verdict,n_supporting_or_partial,n_adverse_or_invalidated,n_not_tested_or_needs_exp,key_BE_evidence_kcal_mol,scope_caveat,source_documents,counting_rule_note
M1,Phenolic-O selectivity over alcohols at CuI,1,CONTRADICTED,0,3,0,BE_CuI–guaiacol-phO = −25.30 ≈ BE_CuI–methanol-O = −25.76 (ΔBE = +0.46; TZVPP confirms +0.51),BE_smd not yet computed for either; selectivity may shift in implicit water but unlikely to reverse given thermal/basis noise,CUI_CLUSTER_BINDING_TABLE.csv; CUI_BASIS_SENSITIVITY.csv; V9_CASE_DECISION.md §1,"n_supporting_or_partial = #{SUPPORTED, PARTIALLY_SUPPORTED}; n_adverse_or_invalidated = #{CONTRADICTED, INVALIDATED_BY_GEOMETRY, INVALIDATED_BY_ENERGETICS}; n_not_tested_or_needs_exp = #{NOT_TESTED, NEEDS_EXPERIMENTAL_VALIDATION}. Per-mechanism counts derived directly from BELEGEN_EVIDENCE_MATRIX.csv support_status column for the rows where claim_id = primary_claim_id."
M2,"Bidentate κ²-O,O chelation under iodide ligation",2,PARTIALLY_SUPPORTED (cluster-dependent),2,2,0,"Survives only at Cu2I2 (−17.86, intact); collapses at CuI (to methoxy-O monodentate); fragments cluster from phO start at Cu2I2; FAILED_SCF on [CuI2]−",Only one cluster level (Cu2I2) supports bidentate without artifacts; larger CuI clusters (e.g. Cu4I4) untested,CU2I2_BINDING_TABLE.csv; CU2I2_MODE_TABLE.csv; CUI2_BINDING_TABLE.csv; CUI2_RERUN_ANOMALIES.csv; V9_CASE_DECISION.md §1,"n_supporting_or_partial = #{SUPPORTED, PARTIALLY_SUPPORTED}; n_adverse_or_invalidated = #{CONTRADICTED, INVALIDATED_BY_GEOMETRY, INVALIDATED_BY_ENERGETICS}; n_not_tested_or_needs_exp = #{NOT_TESTED, NEEDS_EXPERIMENTAL_VALIDATION}. Per-mechanism counts derived directly from BELEGEN_EVIDENCE_MATRIX.csv support_status column for the rows where claim_id = primary_claim_id."
M3,Methoxy-O σ-anchoring,3,"PARTIALLY_SUPPORTED (state-dependent: bidentate kappa^2-O,O productive on neutral Cu2I2; mono-OMe on iodide-saturated [CuI2]- nonproductive)",6,2,0,"Productive at naked-Cu+ (cu_anisole_methoxyO -48.78 / -20.54 SMD); weak at CuI (cui_guaiacol_methoxyO -14.23, weakest O-donor); non-physical SCF in original Set D for cu2i2 + cui2 anion guaiacol cases (+172.67 / +173.15). Task #29 V2 RESCUES claim 3 on Cu2I2 with the bidentate veratrole minimum: cu2i2_veratrole_methoxyO_startA BE_gas = -26.82, BE_smd = -26.24 (Cu-O 2.203 A x 2, n_imag=0). [CuI2]- veratrole alternates remain endothermic +48 to +55 (E3.7, E3.8).","Productivity requires neutral CuI cluster + adjacent O,O donor geometry (here: 1,2-dimethoxy on veratrole). Single mono-OMe contacts remain metastable on Cu2I2. Bidentate basin needs rotamer scan + Grid5/FinalGrid6 single-point to confirm robustness.",CONTROL_BINDING_TABLE.csv; CUI_CLUSTER_BINDING_TABLE.csv; CU2I2_BINDING_TABLE.csv; CUI2_BINDING_TABLE.csv; CUI2_RERUN_ANOMALIES.csv; VERATROLE_OME_ALTERNATE_STARTS.csv; BINDING_SURVIVAL_TABLE_setD_alt_v2.csv; .local/tasks/task-29-veratrole-ome-alternates.md,"n_supporting_or_partial = #{SUPPORTED, PARTIALLY_SUPPORTED}; n_adverse_or_invalidated = #{CONTRADICTED, INVALIDATED_BY_GEOMETRY, INVALIDATED_BY_ENERGETICS}; n_not_tested_or_needs_exp = #{NOT_TESTED, NEEDS_EXPERIMENTAL_VALIDATION}. Per-mechanism counts derived directly from BELEGEN_EVIDENCE_MATRIX.csv support_status column for the rows where claim_id = primary_claim_id. Canonical statuses for mechanical counting: SUPPORTED, PARTIALLY_SUPPORTED, CONTRADICTED, NOT_TESTED, INVALIDATED_BY_GEOMETRY, INVALIDATED_BY_ENERGETICS, NEEDS_EXPERIMENTAL. Bespoke labels (e.g. 'CONFIRMS_E*.x_AT_*') are normalized to the closest canonical status before counting; the original label is preserved in the BELEGEN notes column."
M4,Aromatic π-coordination on neutral Cu2I2,4,PARTIALLY_SUPPORTED (substrate-dependent: veratrole pi minimum -23.1 kcal/mol survives; guaiacol/phenol pi-starts collapse to detached),1,2,0,"cu2i2_guaiacol_pi -15.53 (DETACHED, Cu-O >= 3.75 A); cu2i2_phenol_pi -16.73 (DETACHED, Cu-O 4.76 A); cu2i2_veratrole_pi BE_gas = -22.98, BE_smd = -23.11, n_imag=0 (TRUE eta^n-arene minimum, E4.3 SUPPORTED 2026-04-30 via Task #29 V2). Veratrole's two adjacent -OMe substituents stabilise the pi mode where free phenolic guaiacol/phenol cannot. DUAL-MODE NOTE: on the SAME Cu2I2 + veratrole complex, an alternate kappa^2-O,O bidentate seed (cu2i2_veratrole_methoxyO_startA, BELEGEN E3.5) gives BE_smd = -26.24, slightly more binding than the pi channel by ~3 kcal/mol. Both channels are viable on Cu2I2 + veratrole.","pi-mode is substrate-dependent on Cu2I2: etherified veratrole binds, free phenolic guaiacol/phenol do not. Manuscript wording must say 'etherified guaiacyl/veratrole motifs bind via pi on neutral Cu2I2', not 'aromatic substrates bind via pi'. Other etherified substrates (e.g. beta-O-4 fragments) untested.",CU2I2_BINDING_TABLE.csv; CU2I2_MODE_TABLE.csv; VERATROLE_OME_ALTERNATE_STARTS.csv; BELEGEN_EVIDENCE_MATRIX.csv (E4.3 + E3.5); .local/tasks/task-29-veratrole-ome-alternates.md,"n_supporting_or_partial = #{SUPPORTED, PARTIALLY_SUPPORTED}; n_adverse_or_invalidated = #{CONTRADICTED, INVALIDATED_BY_GEOMETRY, INVALIDATED_BY_ENERGETICS}; n_not_tested_or_needs_exp = #{NOT_TESTED, NEEDS_EXPERIMENTAL_VALIDATION}. Per-mechanism counts derived directly from BELEGEN_EVIDENCE_MATRIX.csv support_status column for the rows where claim_id = primary_claim_id. Canonical statuses for mechanical counting: SUPPORTED, PARTIALLY_SUPPORTED, CONTRADICTED, NOT_TESTED, INVALIDATED_BY_GEOMETRY, INVALIDATED_BY_ENERGETICS, NEEDS_EXPERIMENTAL. Bespoke labels (e.g. 'CONFIRMS_E*.x_AT_*') are normalized to the closest canonical status before counting; the original label is preserved in the BELEGEN notes column."
M5,Iodide-saturated reset state ([CuI2]− linear limit),5,SUPPORTED,6,0,0,"All 6 chemically-valid [CuI2]− adducts: linear (I-Cu-I 171–179°), DETACHED, BE −2.92 to −11.56 kcal/mol; SMD (h2o only) −4.21",Only h2o has BE_smd; the 'reset' interpretation in solution rests on geometry plus the gas-phase trend,CUI2_BINDING_TABLE.csv; CUI2_MODE_TABLE.csv,"n_supporting_or_partial = #{SUPPORTED, PARTIALLY_SUPPORTED}; n_adverse_or_invalidated = #{CONTRADICTED, INVALIDATED_BY_GEOMETRY, INVALIDATED_BY_ENERGETICS}; n_not_tested_or_needs_exp = #{NOT_TESTED, NEEDS_EXPERIMENTAL_VALIDATION}. Per-mechanism counts derived directly from BELEGEN_EVIDENCE_MATRIX.csv support_status column for the rows where claim_id = primary_claim_id."
M6,Cu2I2 rhombic as productive neutral CuI cluster model,6,SUPPORTED,3,0,0,"Rhombic Cu2I2 dimerisation BE −51.90 (n_imag=0); 35.5 kcal/mol more stable than linear isomer (n_imag=2 SADDLE); productive ligand binding for h2o / methanol / guaiacol-bidentate (BE −15 to −19, all intact, all n_imag=0)",Demonstrated for small-donor + chelate set only; broader donor diversity (anionic / N-donor) untested,CUI_CLUSTER_BINDING_TABLE.csv; CU2I2_BINDING_TABLE.csv,"n_supporting_or_partial = #{SUPPORTED, PARTIALLY_SUPPORTED}; n_adverse_or_invalidated = #{CONTRADICTED, INVALIDATED_BY_GEOMETRY, INVALIDATED_BY_ENERGETICS}; n_not_tested_or_needs_exp = #{NOT_TESTED, NEEDS_EXPERIMENTAL_VALIDATION}. Per-mechanism counts derived directly from BELEGEN_EVIDENCE_MATRIX.csv support_status column for the rows where claim_id = primary_claim_id."
M7,Water/methanol displacement of phenolic ligands,7,SUPPORTED,3,0,0,"Cu2I2 ΔE_vs_h2o: guaiacol-bid +1.63, phenol-O +3.02, guaiacol-π +3.96 (water always wins or near-ties); cross-cluster rank reversal (phenol 1→4, guaiacol 4→1 between [CuI2]− and Cu2I2)",Almost all exchange ΔEs are gas-phase only; SMD-based exchange energies recommended for the 'binding-order in water' claim,CU2I2_EXCHANGE_TABLE.csv; LIGAND_EXCHANGE_ENERGIES.csv; RANK_REVERSAL_TABLE.csv; WATER_COMPETITION_TABLE.csv,"n_supporting_or_partial = #{SUPPORTED, PARTIALLY_SUPPORTED}; n_adverse_or_invalidated = #{CONTRADICTED, INVALIDATED_BY_GEOMETRY, INVALIDATED_BY_ENERGETICS}; n_not_tested_or_needs_exp = #{NOT_TESTED, NEEDS_EXPERIMENTAL_VALIDATION}. Per-mechanism counts derived directly from BELEGEN_EVIDENCE_MATRIX.csv support_status column for the rows where claim_id = primary_claim_id."
M8,Oxide / hydroxide aging redox regeneration,8,NEEDS_EXPERIMENTAL_VALIDATION,0,0,1,(no DFT — Level 6 is documentation-only; six reviewer-supplied references catalogued),Periodic-DFT slab work on Cu2O / Cu(OH)2 / CuO surfaces is OUT_OF_SCOPE for v9. Claim cannot be proven or disproven by the present molecular-DFT campaign.,OXIDE_AGING_REGIME_NOTE.md; V9_CASE_DECISION.md §4; MANUSCRIPT_IMPACT_v8_to_v9.md §14,"n_supporting_or_partial = #{SUPPORTED, PARTIALLY_SUPPORTED}; n_adverse_or_invalidated = #{CONTRADICTED, INVALIDATED_BY_GEOMETRY, INVALIDATED_BY_ENERGETICS}; n_not_tested_or_needs_exp = #{NOT_TESTED, NEEDS_EXPERIMENTAL_VALIDATION}. Per-mechanism counts derived directly from BELEGEN_EVIDENCE_MATRIX.csv support_status column for the rows where claim_id = primary_claim_id."
M9,Anion-π iodide retention on aromatic lignin substrates,9,SUPPORTED (i.e. retention is unsupported by data — claim 9 holds),3,0,0,[CuI2]− + (phenol-π / guaiacol-π / phenol-O): all collapse to detached; closest Cu-O 3.21 Å; BE_gas −2.92 to −11.56; no I…aromatic-plane retention in any geometry,Sample is 3 small phenolic substrates; veratrole / β-O-4 fragments not tested but extrapolation seems safe given consistency,CUI2_BINDING_TABLE.csv; CUI2_MODE_TABLE.csv,"n_supporting_or_partial = #{SUPPORTED, PARTIALLY_SUPPORTED}; n_adverse_or_invalidated = #{CONTRADICTED, INVALIDATED_BY_GEOMETRY, INVALIDATED_BY_ENERGETICS}; n_not_tested_or_needs_exp = #{NOT_TESTED, NEEDS_EXPERIMENTAL_VALIDATION}. Per-mechanism counts derived directly from BELEGEN_EVIDENCE_MATRIX.csv support_status column for the rows where claim_id = primary_claim_id."
M10,Mode-selective CuI anchoring as overall thesis,10,PARTIALLY_SUPPORTED (CuI level only; weakens monotonically with iodide ligation),4,0,0,"At naked-Cu+: π/O gap = 33.7 kcal/mol. At CuI: π −56.69 (phenol), −29.04 (guaiacol-π v9.1) > O −25.76 (methanol) ~ −25.30 (guaiacol-phO) > methoxy-O −14.23; π/O gap shrinks to 3.74 kcal/mol. At Cu2I2: BE spread ~4 kcal/mol; π modes collapse. At [CuI2]−: all detached.",Mode-selectivity is real at the CuI monomer level but cluster-state-dependent. Manuscript wording should restrict the claim to the CuI level rather than 'across cluster states'.,"CONTROL_BINDING_TABLE.csv; CUI_CLUSTER_BINDING_TABLE.csv; CU2I2_BINDING_TABLE.csv; CUI2_BINDING_TABLE.csv; V9_CASE_DECISION.md §1, §3","n_supporting_or_partial = #{SUPPORTED, PARTIALLY_SUPPORTED}; n_adverse_or_invalidated = #{CONTRADICTED, INVALIDATED_BY_GEOMETRY, INVALIDATED_BY_ENERGETICS}; n_not_tested_or_needs_exp = #{NOT_TESTED, NEEDS_EXPERIMENTAL_VALIDATION}. Per-mechanism counts derived directly from BELEGEN_EVIDENCE_MATRIX.csv support_status column for the rows where claim_id = primary_claim_id."
