phase,complex_id,ligand_id,computed_BE_kcal_mol,manuscript_BE_kcal_mol,delta_kcal_mol,within_0.1_kcal,assessment
gas,cu_methanol,methanol,-47.4999,-45.0,-2.4999,False,MAJOR_DEVIATION
gas,cu_phenol_O,phenol,-51.4449,-17.9,-33.5449,False,MAJOR_DEVIATION
gas,cu_phenol_pi,phenol,-80.9595,-55.2,-25.7595,False,MAJOR_DEVIATION
gas,cu_guaiacol_phenolicO,guaiacol,-28.5173,-19.7,-8.8173,False,MAJOR_DEVIATION
gas,cu_guaiacol_methoxyO,guaiacol,-54.4831,,,,NO_MS_REF
gas,cu_guaiacol_pi,guaiacol,-62.1656,-43.1,-19.0656,False,MAJOR_DEVIATION
gas,cu_galacturonateH_complex,galacturonate_neutral,-50.1045,-58.4,8.2955,False,MAJOR_DEVIATION
gas,cu_galacturonate_anion_complex,galacturonate_anion,-185.6979,,,,NO_MS_REF
gas,cu_benzene_pi,benzene,-54.4404,,,,NO_MS_REF
gas,cu_anisole_pi,anisole,-60.1474,,,,NO_MS_REF
gas,cu_anisole_methoxyO,anisole,-48.7835,,,,NO_MS_REF
gas,cu_catechol_pi,catechol,-59.7826,,,,NO_MS_REF
gas,cu_catechol_bidentate,catechol,-33.4147,,,,NO_MS_REF
gas,cu_cyclohexanol_O,cyclohexanol,-58.1306,,,,NO_MS_REF
gas,cu_meta_methoxyphenol_pi,meta_methoxyphenol,-63.1634,,,,NO_MS_REF
gas,cu_meta_methoxyphenol_phenolicO,meta_methoxyphenol,-12.3533,,,,NO_MS_REF
gas,cu_para_methoxyphenol_pi,para_methoxyphenol,-58.1997,,,,NO_MS_REF
gas,cu_para_methoxyphenol_phenolicO,para_methoxyphenol,-49.6422,,,,NO_MS_REF
smd,cu_methanol,methanol,-23.6299,-25.1,1.4701,False,MAJOR_DEVIATION
smd,cu_phenol_O,phenol,-36.3887,-7.2,-29.1887,False,MAJOR_DEVIATION
smd,cu_phenol_pi,phenol,-52.1999,,,,NO_MS_REF
smd,cu_guaiacol_phenolicO,guaiacol,-8.0049,-11.8,3.7951,False,MAJOR_DEVIATION
smd,cu_guaiacol_methoxyO,guaiacol,-20.9445,,,,NO_MS_REF
smd,cu_guaiacol_pi,guaiacol,-28.4849,,,,NO_MS_REF
smd,cu_galacturonateH_complex,galacturonate_neutral,-22.7255,-28.7,5.9745,False,MAJOR_DEVIATION
smd,cu_galacturonate_anion_complex,galacturonate_anion,-37.911,,,,NO_MS_REF
smd,cu_benzene_pi,benzene,-23.8796,,,,NO_MS_REF
smd,cu_anisole_pi,anisole,-27.4445,,,,NO_MS_REF
smd,cu_anisole_methoxyO,anisole,-20.5436,,,,NO_MS_REF
smd,cu_catechol_pi,catechol,-28.0776,,,,NO_MS_REF
smd,cu_catechol_bidentate,catechol,-15.6351,,,,NO_MS_REF
smd,cu_cyclohexanol_O,cyclohexanol,-27.2399,,,,NO_MS_REF
smd,cu_meta_methoxyphenol_pi,meta_methoxyphenol,-27.5275,,,,NO_MS_REF
smd,cu_meta_methoxyphenol_phenolicO,meta_methoxyphenol,5.3737,,,,NO_MS_REF
smd,cu_para_methoxyphenol_pi,para_methoxyphenol,-26.3231,,,,NO_MS_REF
smd,cu_para_methoxyphenol_phenolicO,para_methoxyphenol,-19.3219,,,,NO_MS_REF
gas,cu2plus_IP_diagnostic,electron,476.36,,,,DIAGNOSTIC — IP(Cu+→Cu2+)=476.36 kcal/mol; E(Cu2+)=-1639.375466 Eh vs E(Cu+)=-1640.134600 Eh; oxidation-state confusion excluded as primary discrepancy cause
